商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
37447,,,,,,,,2,東芝,東芝 床置スタンド形 2馬力 シングル 冷房専用,1,,"AFRA05067JB｜東芝 業務用エアコン 床置スタンド形 2馬力 シングル 単相200V ワイヤード 冷房専用｜販売価格:606,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2馬力 シングル<br>単相200V ワイヤード<br>冷房専用,AFRA05067JB,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra05067jb.jpg,東芝 業務用エアコン<br>床置スタンド形 2馬力 シングル<br>単相200V ワイヤード<br>冷房専用,toshiba/201709/afra05067jb.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA05067JBの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP506H x 1</td></tr><tr><th>室外機</th><td>ROA-AP507J x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA05067JB,,1,,654480,654480,,0,,,,,,,,,,,,,,,,,"100147,110843",
37448,,,,,,,,2,東芝,東芝 床置スタンド形 2.3馬力 シングル 冷房専用,1,,"AFRA05667JB｜東芝 業務用エアコン 床置スタンド形 2.3馬力 シングル 単相200V ワイヤード 冷房専用｜販売価格:633,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2.3馬力 シングル<br>単相200V ワイヤード<br>冷房専用,AFRA05667JB,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra05667jb.jpg,東芝 業務用エアコン<br>床置スタンド形 2.3馬力 シングル<br>単相200V ワイヤード<br>冷房専用,toshiba/201709/afra05667jb.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA05667JBの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP566H x 1</td></tr><tr><th>室外機</th><td>ROA-AP567J x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA05667JB,,1,,683640,683640,,0,,,,,,,,,,,,,,,,,"100147,110844",
37449,,,,,,,,2,東芝,東芝 床置スタンド形 2.5馬力 シングル 冷房専用,1,,"AFRA06367JB｜東芝 業務用エアコン 床置スタンド形 2.5馬力 シングル 単相200V ワイヤード 冷房専用｜販売価格:663,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2.5馬力 シングル<br>単相200V ワイヤード<br>冷房専用,AFRA06367JB,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra06367jb.jpg,東芝 業務用エアコン<br>床置スタンド形 2.5馬力 シングル<br>単相200V ワイヤード<br>冷房専用,toshiba/201709/afra06367jb.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA06367JBの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP636H x 1</td></tr><tr><th>室外機</th><td>ROA-AP637J x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA06367JB,,1,,716040,716040,,0,,,,,,,,,,,,,,,,,"100147,110845",
37450,,,,,,,,2,東芝,東芝 床置スタンド形 2馬力 シングル 冷房専用,1,,"AFRA05067B｜東芝 業務用エアコン 床置スタンド形 2馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:606,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA05067B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra05067b.jpg,東芝 業務用エアコン<br>床置スタンド形 2馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra05067b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA05067Bの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP506H x 1</td></tr><tr><th>室外機</th><td>ROA-AP507 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA05067B,,1,,654480,654480,,0,,,,,,,,,,,,,,,,,"100147,110843",
37451,,,,,,,,2,東芝,東芝 床置スタンド形 2.3馬力 シングル 冷房専用,1,,"AFRA05667B｜東芝 業務用エアコン 床置スタンド形 2.3馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:633,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2.3馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA05667B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra05667b.jpg,東芝 業務用エアコン<br>床置スタンド形 2.3馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra05667b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA05667Bの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP566H x 1</td></tr><tr><th>室外機</th><td>ROA-AP567 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA05667B,,1,,683640,683640,,0,,,,,,,,,,,,,,,,,"100147,110844",
37452,,,,,,,,2,東芝,東芝 床置スタンド形 2.5馬力 シングル 冷房専用,1,,"AFRA06367B｜東芝 業務用エアコン 床置スタンド形 2.5馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:663,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 2.5馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA06367B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra06367b.jpg,東芝 業務用エアコン<br>床置スタンド形 2.5馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra06367b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA06367Bの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP636H x 1</td></tr><tr><th>室外機</th><td>ROA-AP637 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA06367B,,1,,716040,716040,,0,,,,,,,,,,,,,,,,,"100147,110845",
37453,,,,,,,,2,東芝,東芝 床置スタンド形 3馬力 シングル 冷房専用,1,,"AFRA08067B｜東芝 業務用エアコン 床置スタンド形 3馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:715,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 3馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA08067B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra08067b.jpg,東芝 業務用エアコン<br>床置スタンド形 3馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra08067b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA08067Bの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP806H x 1</td></tr><tr><th>室外機</th><td>ROA-AP807 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA08067B,,1,,772200,772200,,0,,,,,,,,,,,,,,,,,"100147,110846",
37454,,,,,,,,2,東芝,東芝 床置スタンド形 4馬力 シングル 冷房専用,1,,"AFRA11267B｜東芝 業務用エアコン 床置スタンド形 4馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:816,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 4馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA11267B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra11267b.jpg,東芝 業務用エアコン<br>床置スタンド形 4馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra11267b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA11267Bの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP1126H x 1</td></tr><tr><th>室外機</th><td>ROA-AP1127 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA11267B,,1,,881280,881280,,0,,,,,,,,,,,,,,,,,"100147,110847",
37455,,,,,,,,2,東芝,東芝 床置スタンド形 5馬力 シングル 冷房専用,1,,"AFRA14067B｜東芝 業務用エアコン 床置スタンド形 5馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:941,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 5馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA14067B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra14067b.jpg,東芝 業務用エアコン<br>床置スタンド形 5馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra14067b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA14067Bの能力は、5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr> <tr><td>一般商店</td><td>54 - 81 m2</td><td>16 - 25 坪</td><td>32 - 50 畳</td> </tr> <tr><td>飲食店</td><td>34 - 54 m2</td><td>10 - 16 坪</td><td>20 - 32 畳</td> </tr> <tr><td>理容室・美容室</td><td>43 - 54 m2</td><td>13 - 16 坪</td><td>26 - 32 畳</td> </tr> <tr><td>病院・医院・学校</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP1406H x 1</td></tr><tr><th>室外機</th><td>ROA-AP1407 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA14067B,,1,,1016280,1016280,,0,,,,,,,,,,,,,,,,,"100147,110848",
37456,,,,,,,,2,東芝,東芝 床置スタンド形 6馬力 シングル 冷房専用,1,,"AFRA16067B｜東芝 業務用エアコン 床置スタンド形 6馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:1,020,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 6馬力 シングル<br>三相200V ワイヤード<br>冷房専用,AFRA16067B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afra16067b.jpg,東芝 業務用エアコン<br>床置スタンド形 6馬力 シングル<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afra16067b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコンを含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRA16067Bの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP1606H x 1</td></tr><tr><th>室外機</th><td>ROA-AP1607 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRA16067B,,1,,1101600,1101600,,0,,,,,,,,,,,,,,,,,"100147,110849",
37457,,,,,,,,2,東芝,東芝 床置スタンド形 4馬力 同時ツイン 冷房専用,1,,"AFRB11267B｜東芝 業務用エアコン 床置スタンド形 4馬力 同時ツイン 三相200V ワイヤード 冷房専用｜販売価格:1,056,000円 「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン<br>床置スタンド形 4馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用,AFRB11267B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201709/afrb11267b.jpg,東芝 業務用エアコン<br>床置スタンド形 4馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用,toshiba/201709/afrb11267b.jpg,,,"<ul class=""set_comment_list""><li>※内蔵リモコン・分岐管を含んだ金額になります</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,"<p class=""poText"">AFRB11267Bの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIF-AP566H x 2</td></tr><tr><th>室外機</th><td>ROA-AP1127 x 1</td></tr><tr><th>リモコン</th><td>内蔵リモコン x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP30 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AFRB11267B,,1,,1140480,1140480,,0,,,,,,,,,,,,,,,,,"100147,110867",
